Sales,Date,Region
1731.0,2018-02-06,east
1542.0,2018-02-07,east
1503.0,2018-02-08,east
1782.0,2018-02-09,east
1650.0,2018-02-10,east
1563.0,2018-02-11,east
1569.0,2018-02-12,east
1773.0,2018-02-13,east
1698.0,2018-02-14,east
1524.0,2018-02-15,east
1527.0,2018-02-16,east
1641.0,2018-02-17,east
1551.0,2018-02-18,east
1605.0,2018-02-19,east
1500.0,2018-02-20,east
1665.0,2018-02-21,east
1668.0,2018-02-22,east
1641.0,2018-02-23,east
1725.0,2018-02-24,east
1635.0,2018-02-25,east
1524.0,2018-02-26,east
1578.0,2018-02-27,east
1743.0,2018-02-28,east
1527.0,2018-03-01,east
1746.0,2018-03-02,east
1569.0,2018-03-03,east
1614.0,2018-03-04,east
1557.0,2018-03-05,east
1659.0,2018-03-06,east
1608.0,2018-03-07,east
1698.0,2018-03-08,east
1506.0,2018-03-09,east
1746.0,2018-03-10,east
1608.0,2018-03-11,east
1602.0,2018-03-12,east
1554.0,2018-03-13,east
1512.0,2018-03-14,east
1605.0,2018-03-15,east
1590.0,2018-03-16,east
1710.0,2018-03-17,east
1698.0,2018-03-18,east
1500.0,2018-03-19,east
1629.0,2018-03-20,east
1593.0,2018-03-21,east
1653.0,2018-03-22,east
1749.0,2018-03-23,east
1800.0,2018-03-24,east
1740.0,2018-03-25,east
1533.0,2018-03-26,east
1533.0,2018-03-27,east
1524.0,2018-03-28,east
1686.0,2018-03-29,east
1554.0,2018-03-30,east
1605.0,2018-03-31,east
1710.0,2018-04-01,east
1662.0,2018-04-02,east
1614.0,2018-04-03,east
1566.0,2018-04-04,east
1692.0,2018-04-05,east
1632.0,2018-04-06,east
1788.0,2018-04-07,east
1557.0,2018-04-08,east
1641.0,2018-04-09,east
1698.0,2018-04-10,east
1581.0,2018-04-11,east
1782.0,2018-04-12,east
1674.0,2018-04-13,east
1674.0,2018-04-14,east
1602.0,2018-04-15,east
1548.0,2018-04-16,east
1704.0,2018-04-17,east
1515.0,2018-04-18,east
1767.0,2018-04-19,east
1677.0,2018-04-20,east
1644.0,2018-04-21,east
1557.0,2018-04-22,east
1665.0,2018-04-23,east
1689.0,2018-04-24,east
1758.0,2018-04-25,east
1740.0,2018-04-26,east
1674.0,2018-04-27,east
1584.0,2018-04-28,east
1740.0,2018-04-29,east
1593.0,2018-04-30,east
1506.0,2018-05-01,east
1791.0,2018-05-02,east
1500.0,2018-05-03,east
1671.0,2018-05-04,east
1575.0,2018-05-05,east
1719.0,2018-05-06,east
1728.0,2018-05-07,east
1728.0,2018-05-08,east
1551.0,2018-05-09,east
1515.0,2018-05-10,east
1584.0,2018-05-11,east
1521.0,2018-05-12,east
1665.0,2018-05-13,east
1644.0,2018-05-14,east
1701.0,2018-05-15,east
1626.0,2018-05-16,east
1590.0,2018-05-17,east
1539.0,2018-05-18,east
1626.0,2018-05-19,east
1752.0,2018-05-20,east
1626.0,2018-05-21,east
1581.0,2018-05-22,east
1713.0,2018-05-23,east
1695.0,2018-05-24,east
1713.0,2018-05-25,east
1650.0,2018-05-26,east
1521.0,2018-05-27,east
1800.0,2018-05-28,east
1629.0,2018-05-29,east
1614.0,2018-05-30,east
1536.0,2018-05-31,east
1665.0,2018-06-01,east
1797.0,2018-06-02,east
1578.0,2018-06-03,east
1572.0,2018-06-04,east
1557.0,2018-06-05,east
1761.0,2018-06-06,east
1785.0,2018-06-07,east
1695.0,2018-06-08,east
1656.0,2018-06-09,east
1737.0,2018-06-10,east
1698.0,2018-06-11,east
1548.0,2018-06-12,east
1572.0,2018-06-13,east
1599.0,2018-06-14,east
1593.0,2018-06-15,east
1575.0,2018-06-16,east
1608.0,2018-06-17,east
1611.0,2018-06-18,east
1623.0,2018-06-19,east
1734.0,2018-06-20,east
1557.0,2018-06-21,east
1686.0,2018-06-22,east
1695.0,2018-06-23,east
1530.0,2018-06-24,east
1548.0,2018-06-25,east
1503.0,2018-06-26,east
1707.0,2018-06-27,east
1692.0,2018-06-28,east
1629.0,2018-06-29,east
1515.0,2018-06-30,east
1716.0,2018-07-01,east
1680.0,2018-07-02,east
1623.0,2018-07-03,east
1764.0,2018-07-04,east
1575.0,2018-07-05,east
1758.0,2018-07-06,east
1695.0,2018-07-07,east
1515.0,2018-07-08,east
1542.0,2018-07-09,east
1755.0,2018-07-10,east
1638.0,2018-07-11,east
1539.0,2018-07-12,east
1680.0,2018-07-13,east
1620.0,2018-07-14,east
1698.0,2018-07-15,east
1554.0,2018-07-16,east
1788.0,2018-07-17,east
1530.0,2018-07-18,east
1704.0,2018-07-19,east
1644.0,2018-07-20,east
1662.0,2018-07-21,east
1659.0,2018-07-22,east
1719.0,2018-07-23,east
1752.0,2018-07-24,east
1533.0,2018-07-25,east
1551.0,2018-07-26,east
1695.0,2018-07-27,east
1596.0,2018-07-28,east
1749.0,2018-07-29,east
1509.0,2018-07-30,east
1548.0,2018-07-31,east
1554.0,2018-08-01,east
1548.0,2018-08-02,east
1719.0,2018-08-03,east
1743.0,2018-08-04,east
1614.0,2018-08-05,east
1554.0,2018-08-06,east
1551.0,2018-08-07,east
1506.0,2018-08-08,east
1620.0,2018-08-09,east
1701.0,2018-08-10,east
1533.0,2018-08-11,east
1719.0,2018-08-12,east
1638.0,2018-08-13,east
1716.0,2018-08-14,east
1800.0,2018-08-15,east
1743.0,2018-08-16,east
1623.0,2018-08-17,east
1689.0,2018-08-18,east
1701.0,2018-08-19,east
1662.0,2018-08-20,east
1644.0,2018-08-21,east
1539.0,2018-08-22,east
1788.0,2018-08-23,east
1734.0,2018-08-24,east
1764.0,2018-08-25,east
1668.0,2018-08-26,east
1602.0,2018-08-27,east
1656.0,2018-08-28,east
1734.0,2018-08-29,east
1665.0,2018-08-30,east
1644.0,2018-08-31,east
1719.0,2018-09-01,east
1506.0,2018-09-02,east
1674.0,2018-09-03,east
1785.0,2018-09-04,east
1656.0,2018-09-05,east
1758.0,2018-09-06,east
1776.0,2018-09-07,east
1533.0,2018-09-08,east
1638.0,2018-09-09,east
1782.0,2018-09-10,east
1749.0,2018-09-11,east
1740.0,2018-09-12,east
1677.0,2018-09-13,east
1743.0,2018-09-14,east
1698.0,2018-09-15,east
1782.0,2018-09-16,east
1545.0,2018-09-17,east
1737.0,2018-09-18,east
1779.0,2018-09-19,east
1662.0,2018-09-20,east
1716.0,2018-09-21,east
1758.0,2018-09-22,east
1728.0,2018-09-23,east
1797.0,2018-09-24,east
1611.0,2018-09-25,east
1713.0,2018-09-26,east
1743.0,2018-09-27,east
1653.0,2018-09-28,east
1701.0,2018-09-29,east
1659.0,2018-09-30,east
1755.0,2018-10-01,east
1800.0,2018-10-02,east
1536.0,2018-10-03,east
1626.0,2018-10-04,east
1713.0,2018-10-05,east
1596.0,2018-10-06,east
1794.0,2018-10-07,east
1779.0,2018-10-08,east
1551.0,2018-10-09,east
1599.0,2018-10-10,east
1749.0,2018-10-11,east
1542.0,2018-10-12,east
1722.0,2018-10-13,east
1503.0,2018-10-14,east
1548.0,2018-10-15,east
1650.0,2018-10-16,east
1656.0,2018-10-17,east
1509.0,2018-10-18,east
1794.0,2018-10-19,east
1776.0,2018-10-20,east
1767.0,2018-10-21,east
1578.0,2018-10-22,east
1602.0,2018-10-23,east
1692.0,2018-10-24,east
1635.0,2018-10-25,east
1545.0,2018-10-26,east
1686.0,2018-10-27,east
1785.0,2018-10-28,east
1599.0,2018-10-29,east
1530.0,2018-10-30,east
1596.0,2018-10-31,east
1593.0,2018-11-01,east
1530.0,2018-11-02,east
1548.0,2018-11-03,east
1530.0,2018-11-04,east
1776.0,2018-11-05,east
1773.0,2018-11-06,east
1650.0,2018-11-07,east
1500.0,2018-11-08,east
1710.0,2018-11-09,east
1566.0,2018-11-10,east
1641.0,2018-11-11,east
1569.0,2018-11-12,east
1776.0,2018-11-13,east
1533.0,2018-11-14,east
1521.0,2018-11-15,east
1662.0,2018-11-16,east
1602.0,2018-11-17,east
1617.0,2018-11-18,east
1725.0,2018-11-19,east
1632.0,2018-11-20,east
1644.0,2018-11-21,east
1710.0,2018-11-22,east
1560.0,2018-11-23,east
1683.0,2018-11-24,east
1704.0,2018-11-25,east
1659.0,2018-11-26,east
1725.0,2018-11-27,east
