Sales,Date,Region
1638.0,2018-02-06,north
1587.0,2018-02-07,north
1602.0,2018-02-08,north
1758.0,2018-02-09,north
1662.0,2018-02-10,north
1554.0,2018-02-11,north
1758.0,2018-02-12,north
1572.0,2018-02-13,north
1767.0,2018-02-14,north
1746.0,2018-02-15,north
1578.0,2018-02-16,north
1785.0,2018-02-17,north
1644.0,2018-02-18,north
1563.0,2018-02-19,north
1698.0,2018-02-20,north
1737.0,2018-02-21,north
1635.0,2018-02-22,north
1533.0,2018-02-23,north
1629.0,2018-02-24,north
1596.0,2018-02-25,north
1686.0,2018-02-26,north
1665.0,2018-02-27,north
1767.0,2018-02-28,north
1668.0,2018-03-01,north
1635.0,2018-03-02,north
1539.0,2018-03-03,north
1773.0,2018-03-04,north
1533.0,2018-03-05,north
1719.0,2018-03-06,north
1581.0,2018-03-07,north
1611.0,2018-03-08,north
1746.0,2018-03-09,north
1788.0,2018-03-10,north
1692.0,2018-03-11,north
1599.0,2018-03-12,north
1644.0,2018-03-13,north
1515.0,2018-03-14,north
1677.0,2018-03-15,north
1506.0,2018-03-16,north
1593.0,2018-03-17,north
1650.0,2018-03-18,north
1683.0,2018-03-19,north
1647.0,2018-03-20,north
1743.0,2018-03-21,north
1578.0,2018-03-22,north
1761.0,2018-03-23,north
1716.0,2018-03-24,north
1743.0,2018-03-25,north
1509.0,2018-03-26,north
1767.0,2018-03-27,north
1671.0,2018-03-28,north
1722.0,2018-03-29,north
1734.0,2018-03-30,north
1617.0,2018-03-31,north
1761.0,2018-04-01,north
1509.0,2018-04-02,north
1767.0,2018-04-03,north
1767.0,2018-04-04,north
1506.0,2018-04-05,north
1701.0,2018-04-06,north
1725.0,2018-04-07,north
1656.0,2018-04-08,north
1686.0,2018-04-09,north
1686.0,2018-04-10,north
1671.0,2018-04-11,north
1653.0,2018-04-12,north
1539.0,2018-04-13,north
1569.0,2018-04-14,north
1515.0,2018-04-15,north
1602.0,2018-04-16,north
1599.0,2018-04-17,north
1545.0,2018-04-18,north
1713.0,2018-04-19,north
1668.0,2018-04-20,north
1683.0,2018-04-21,north
1572.0,2018-04-22,north
1710.0,2018-04-23,north
1503.0,2018-04-24,north
1623.0,2018-04-25,north
1713.0,2018-04-26,north
1716.0,2018-04-27,north
1632.0,2018-04-28,north
1713.0,2018-04-29,north
1653.0,2018-04-30,north
1785.0,2018-05-01,north
1623.0,2018-05-02,north
1785.0,2018-05-03,north
1653.0,2018-05-04,north
1578.0,2018-05-05,north
1674.0,2018-05-06,north
1794.0,2018-05-07,north
1617.0,2018-05-08,north
1584.0,2018-05-09,north
1737.0,2018-05-10,north
1746.0,2018-05-11,north
1743.0,2018-05-12,north
1545.0,2018-05-13,north
1776.0,2018-05-14,north
1800.0,2018-05-15,north
1593.0,2018-05-16,north
1728.0,2018-05-17,north
1782.0,2018-05-18,north
1788.0,2018-05-19,north
1548.0,2018-05-20,north
1575.0,2018-05-21,north
1572.0,2018-05-22,north
1641.0,2018-05-23,north
1524.0,2018-05-24,north
1599.0,2018-05-25,north
1776.0,2018-05-26,north
1629.0,2018-05-27,north
1755.0,2018-05-28,north
1713.0,2018-05-29,north
1674.0,2018-05-30,north
1725.0,2018-05-31,north
1794.0,2018-06-01,north
1752.0,2018-06-02,north
1596.0,2018-06-03,north
1608.0,2018-06-04,north
1713.0,2018-06-05,north
1695.0,2018-06-06,north
1518.0,2018-06-07,north
1719.0,2018-06-08,north
1782.0,2018-06-09,north
1578.0,2018-06-10,north
1788.0,2018-06-11,north
1776.0,2018-06-12,north
1683.0,2018-06-13,north
1761.0,2018-06-14,north
1623.0,2018-06-15,north
1659.0,2018-06-16,north
1599.0,2018-06-17,north
1530.0,2018-06-18,north
1593.0,2018-06-19,north
1665.0,2018-06-20,north
1797.0,2018-06-21,north
1743.0,2018-06-22,north
1791.0,2018-06-23,north
1563.0,2018-06-24,north
1650.0,2018-06-25,north
1728.0,2018-06-26,north
1581.0,2018-06-27,north
1563.0,2018-06-28,north
1686.0,2018-06-29,north
1554.0,2018-06-30,north
1746.0,2018-07-01,north
1695.0,2018-07-02,north
1644.0,2018-07-03,north
1743.0,2018-07-04,north
1752.0,2018-07-05,north
1743.0,2018-07-06,north
1776.0,2018-07-07,north
1623.0,2018-07-08,north
1623.0,2018-07-09,north
1794.0,2018-07-10,north
1605.0,2018-07-11,north
