Sales,Date,Region
1647.0,2018-02-06,south
1698.0,2018-02-07,south
1536.0,2018-02-08,south
1662.0,2018-02-09,south
1557.0,2018-02-10,south
1587.0,2018-02-11,south
1608.0,2018-02-12,south
1716.0,2018-02-13,south
1710.0,2018-02-14,south
1734.0,2018-02-15,south
1782.0,2018-02-16,south
1689.0,2018-02-17,south
1674.0,2018-02-18,south
1647.0,2018-02-19,south
1575.0,2018-02-20,south
1542.0,2018-02-21,south
1632.0,2018-02-22,south
1563.0,2018-02-23,south
1698.0,2018-02-24,south
1710.0,2018-02-25,south
1533.0,2018-02-26,south
1695.0,2018-02-27,south
1593.0,2018-02-28,south
1782.0,2018-03-01,south
1569.0,2018-03-02,south
1500.0,2018-03-03,south
1644.0,2018-03-04,south
1653.0,2018-03-05,south
1719.0,2018-03-06,south
1602.0,2018-03-07,south
1530.0,2018-03-08,south
1524.0,2018-03-09,south
1719.0,2018-03-10,south
1635.0,2018-03-11,south
1518.0,2018-03-12,south
1611.0,2018-03-13,south
1632.0,2018-03-14,south
1503.0,2018-03-15,south
1737.0,2018-03-16,south
1614.0,2018-03-17,south
1755.0,2018-03-18,south
1509.0,2018-03-19,south
1614.0,2018-03-20,south
1569.0,2018-03-21,south
1581.0,2018-03-22,south
1611.0,2018-03-23,south
1710.0,2018-03-24,south
1764.0,2018-03-25,south
1641.0,2018-03-26,south
1590.0,2018-03-27,south
1527.0,2018-03-28,south
1557.0,2018-03-29,south
1776.0,2018-03-30,south
1635.0,2018-03-31,south
1530.0,2018-04-01,south
1797.0,2018-04-02,south
1767.0,2018-04-03,south
1761.0,2018-04-04,south
1512.0,2018-04-05,south
1752.0,2018-04-06,south
1611.0,2018-04-07,south
1674.0,2018-04-08,south
1782.0,2018-04-09,south
1527.0,2018-04-10,south
1527.0,2018-04-11,south
1626.0,2018-04-12,south
1752.0,2018-04-13,south
1794.0,2018-04-14,south
1527.0,2018-04-15,south
1707.0,2018-04-16,south
1728.0,2018-04-17,south
1797.0,2018-04-18,south
1674.0,2018-04-19,south
1620.0,2018-04-20,south
1743.0,2018-04-21,south
1545.0,2018-04-22,south
