Sales,Date,Region
1557.0,2018-02-06,west
1635.0,2018-02-07,west
1701.0,2018-02-08,west
1515.0,2018-02-09,west
1674.0,2018-02-10,west
1764.0,2018-02-11,west
1653.0,2018-02-12,west
1725.0,2018-02-13,west
1512.0,2018-02-14,west
1614.0,2018-02-15,west
1752.0,2018-02-16,west
1575.0,2018-02-17,west
1737.0,2018-02-18,west
1539.0,2018-02-19,west
1551.0,2018-02-20,west
1548.0,2018-02-21,west
1764.0,2018-02-22,west
1773.0,2018-02-23,west
1722.0,2018-02-24,west
1659.0,2018-02-25,west
1530.0,2018-02-26,west
1620.0,2018-02-27,west
1557.0,2018-02-28,west
1668.0,2018-03-01,west
1773.0,2018-03-02,west
1557.0,2018-03-03,west
1674.0,2018-03-04,west
1746.0,2018-03-05,west
1800.0,2018-03-06,west
1650.0,2018-03-07,west
1668.0,2018-03-08,west
1704.0,2018-03-09,west
1584.0,2018-03-10,west
1590.0,2018-03-11,west
1659.0,2018-03-12,west
1515.0,2018-03-13,west
1776.0,2018-03-14,west
1647.0,2018-03-15,west
1767.0,2018-03-16,west
1662.0,2018-03-17,west
1659.0,2018-03-18,west
1545.0,2018-03-19,west
1677.0,2018-03-20,west
1578.0,2018-03-21,west
1578.0,2018-03-22,west
1764.0,2018-03-23,west
1728.0,2018-03-24,west
1707.0,2018-03-25,west
1752.0,2018-03-26,west
1704.0,2018-03-27,west
1629.0,2018-03-28,west
1779.0,2018-03-29,west
1725.0,2018-03-30,west
1785.0,2018-03-31,west
1506.0,2018-04-01,west
1530.0,2018-04-02,west
1533.0,2018-04-03,west
1623.0,2018-04-04,west
1749.0,2018-04-05,west
1515.0,2018-04-06,west
1617.0,2018-04-07,west
1701.0,2018-04-08,west
1557.0,2018-04-09,west
1728.0,2018-04-10,west
1764.0,2018-04-11,west
1749.0,2018-04-12,west
1749.0,2018-04-13,west
1638.0,2018-04-14,west
1653.0,2018-04-15,west
1527.0,2018-04-16,west
1539.0,2018-04-17,west
1719.0,2018-04-18,west
1767.0,2018-04-19,west
1509.0,2018-04-20,west
1578.0,2018-04-21,west
1626.0,2018-04-22,west
1521.0,2018-04-23,west
1743.0,2018-04-24,west
1557.0,2018-04-25,west
1563.0,2018-04-26,west
1716.0,2018-04-27,west
1590.0,2018-04-28,west
1638.0,2018-04-29,west
1602.0,2018-04-30,west
1536.0,2018-05-01,west
1653.0,2018-05-02,west
1770.0,2018-05-03,west
1629.0,2018-05-04,west
1587.0,2018-05-05,west
1617.0,2018-05-06,west
1740.0,2018-05-07,west
1635.0,2018-05-08,west
1512.0,2018-05-09,west
1716.0,2018-05-10,west
1617.0,2018-05-11,west
1578.0,2018-05-12,west
1644.0,2018-05-13,west
1503.0,2018-05-14,west
1671.0,2018-05-15,west
1629.0,2018-05-16,west
1626.0,2018-05-17,west
1509.0,2018-05-18,west
1629.0,2018-05-19,west
1638.0,2018-05-20,west
1572.0,2018-05-21,west
1521.0,2018-05-22,west
1563.0,2018-05-23,west
1533.0,2018-05-24,west
1644.0,2018-05-25,west
1512.0,2018-05-26,west
1761.0,2018-05-27,west
1539.0,2018-05-28,west
1635.0,2018-05-29,west
1794.0,2018-05-30,west
1620.0,2018-05-31,west
1671.0,2018-06-01,west
1668.0,2018-06-02,west
1680.0,2018-06-03,west
1656.0,2018-06-04,west
1782.0,2018-06-05,west
1659.0,2018-06-06,west
1557.0,2018-06-07,west
1602.0,2018-06-08,west
1665.0,2018-06-09,west
1557.0,2018-06-10,west
1728.0,2018-06-11,west
1542.0,2018-06-12,west
1683.0,2018-06-13,west
