Sales,Product,Date,Region
1731.0,pink morsel,2018-02-06,east
1542.0,pink morsel,2018-02-07,east
1503.0,pink morsel,2018-02-08,east
1782.0,pink morsel,2018-02-09,east
1650.0,pink morsel,2018-02-10,east
1563.0,pink morsel,2018-02-11,east
1569.0,pink morsel,2018-02-12,east
1773.0,pink morsel,2018-02-13,east
1698.0,pink morsel,2018-02-14,east
1524.0,pink morsel,2018-02-15,east
1527.0,pink morsel,2018-02-16,east
1641.0,pink morsel,2018-02-17,east
1551.0,pink morsel,2018-02-18,east
1605.0,pink morsel,2018-02-19,east
1500.0,pink morsel,2018-02-20,east
1665.0,pink morsel,2018-02-21,east
1668.0,pink morsel,2018-02-22,east
1641.0,pink morsel,2018-02-23,east
1725.0,pink morsel,2018-02-24,east
1635.0,pink morsel,2018-02-25,east
1524.0,pink morsel,2018-02-26,east
1578.0,pink morsel,2018-02-27,east
1743.0,pink morsel,2018-02-28,east
1527.0,pink morsel,2018-03-01,east
1746.0,pink morsel,2018-03-02,east
1569.0,pink morsel,2018-03-03,east
1614.0,pink morsel,2018-03-04,east
1557.0,pink morsel,2018-03-05,east
1659.0,pink morsel,2018-03-06,east
1608.0,pink morsel,2018-03-07,east
1698.0,pink morsel,2018-03-08,east
1506.0,pink morsel,2018-03-09,east
1746.0,pink morsel,2018-03-10,east
1608.0,pink morsel,2018-03-11,east
1602.0,pink morsel,2018-03-12,east
1554.0,pink morsel,2018-03-13,east
1512.0,pink morsel,2018-03-14,east
1605.0,pink morsel,2018-03-15,east
1590.0,pink morsel,2018-03-16,east
1710.0,pink morsel,2018-03-17,east
1698.0,pink morsel,2018-03-18,east
1500.0,pink morsel,2018-03-19,east
1629.0,pink morsel,2018-03-20,east
1593.0,pink morsel,2018-03-21,east
1653.0,pink morsel,2018-03-22,east
1749.0,pink morsel,2018-03-23,east
1800.0,pink morsel,2018-03-24,east
1740.0,pink morsel,2018-03-25,east
1533.0,pink morsel,2018-03-26,east
1533.0,pink morsel,2018-03-27,east
1524.0,pink morsel,2018-03-28,east
1686.0,pink morsel,2018-03-29,east
1554.0,pink morsel,2018-03-30,east
1605.0,pink morsel,2018-03-31,east
1710.0,pink morsel,2018-04-01,east
1662.0,pink morsel,2018-04-02,east
1614.0,pink morsel,2018-04-03,east
1566.0,pink morsel,2018-04-04,east
1692.0,pink morsel,2018-04-05,east
1632.0,pink morsel,2018-04-06,east
1788.0,pink morsel,2018-04-07,east
1557.0,pink morsel,2018-04-08,east
1641.0,pink morsel,2018-04-09,east
1698.0,pink morsel,2018-04-10,east
1581.0,pink morsel,2018-04-11,east
1782.0,pink morsel,2018-04-12,east
1674.0,pink morsel,2018-04-13,east
